   Id       ,	yymmdd_in,     yymmdd_out,       decy_in ,       decy_out,      hhmm_in,       hhmm_out,         Lat_in,          Lat_out,      Long_in,         Long_out,      QF,     dep1,   pres ,     temp,        salt   ,           lt1,    lt2,  lt3  ,  dark ,	t0    ,  pp   , 
  1000508102	  19890219	  19890219	  1989.137	  -999.000	    -999	    -999	  31.650	  -999.000	  64.522	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	   6.39	   7.05	  12.02	   0.38	   0.22	   8.11
  1000508103	  19890219	  19890219	  1989.137	  -999.000	    -999	    -999	  31.650	  -999.000	  64.522	  -999.000	  2	 30.0	-999.0	-999.000	-999.000	  24.23	  25.33	  25.31	   0.39	   0.24	  24.57
  1000508104	  19890219	  19890219	  1989.137	  -999.000	    -999	    -999	  31.650	  -999.000	  64.522	  -999.000	  2	 47.0	-999.0	-999.000	-999.000	-999.00	   2.06	   2.21	   0.29	   0.21	   1.84
  1000508105	  19890219	  19890219	  1989.137	  -999.000	    -999	    -999	  31.650	  -999.000	  64.522	  -999.000	  2	 75.0	-999.0	-999.000	-999.000	   0.83	   0.86	   0.91	-999.00	   0.24	-999.00
  1000508106	  19890219	  19890219	  1989.137	  -999.000	    -999	    -999	  31.650	  -999.000	  64.522	  -999.000	  2	100.0	-999.0	-999.000	-999.000	   0.36	   0.38	   0.32	   0.23	   0.22	   0.12
  1000608101	  19890326	  19890326	  1989.233	  -999.000	    -999	    -999	  31.135	  -999.000	  64.751	  -999.000	  2	  4.0	-999.0	-999.000	-999.000	   4.11	   4.47	   4.56	   0.36	   0.30	   4.02
  1000608102	  19890326	  19890326	  1989.233	  -999.000	    -999	    -999	  31.135	  -999.000	  64.751	  -999.000	  2	 15.0	-999.0	-999.000	-999.000	   3.17	   3.02	   3.42	   0.35	   0.32	   2.85
  1000608103	  19890326	  19890326	  1989.233	  -999.000	    -999	    -999	  31.135	  -999.000	  64.751	  -999.000	  2	 25.0	-999.0	-999.000	-999.000	   4.17	   4.28	   4.34	   0.46	   0.29	   3.80
  1000608104	  19890326	  19890326	  1989.233	  -999.000	    -999	    -999	  31.135	  -999.000	  64.751	  -999.000	  2	 35.0	-999.0	-999.000	-999.000	   4.38	   3.56	   3.87	   0.40	   0.37	   3.54
  1000608105	  19890326	  19890326	  1989.233	  -999.000	    -999	    -999	  31.135	  -999.000	  64.751	  -999.000	  2	 53.0	-999.0	-999.000	-999.000	   3.42	   3.15	   3.51	   0.40	   0.33	   2.96
  1000608106	  19890326	  19890326	  1989.233	  -999.000	    -999	    -999	  31.135	  -999.000	  64.751	  -999.000	  2	 70.0	-999.0	-999.000	-999.000	   0.86	   0.86	   0.80	   0.44	   0.35	   0.40
  1000708101	  19890417	  19890417	  1989.293	  -999.000	    -999	    -999	  31.587	  -999.000	  64.213	  -999.000	  2	  5.0	-999.0	-999.000	-999.000	   4.08	   3.91	   3.89	   0.39	   0.24	   3.57
  1000708102	  19890417	  19890417	  1989.293	  -999.000	    -999	    -999	  31.587	  -999.000	  64.213	  -999.000	  2	 17.0	-999.0	-999.000	-999.000	   4.07	   3.88	   3.76	   0.40	   0.22	   3.50
  1000708103	  19890417	  19890417	  1989.293	  -999.000	    -999	    -999	  31.587	  -999.000	  64.213	  -999.000	  2	 32.0	-999.0	-999.000	-999.000	   2.69	   2.85	   3.09	   0.39	   0.34	   2.49
  1000708104	  19890417	  19890417	  1989.293	  -999.000	    -999	    -999	  31.587	  -999.000	  64.213	  -999.000	  2	 50.0	-999.0	-999.000	-999.000	   2.75	   3.04	   3.04	   0.49	   0.35	   2.45
  1000708105	  19890417	  19890417	  1989.293	  -999.000	    -999	    -999	  31.587	  -999.000	  64.213	  -999.000	  2	 64.0	-999.0	-999.000	-999.000	   2.43	   2.58	   2.49	   0.36	   0.23	   2.14
  1000708106	  19890417	  19890417	  1989.293	  -999.000	    -999	    -999	  31.587	  -999.000	  64.213	  -999.000	  2	 75.0	-999.0	-999.000	-999.000	   3.57	   3.60	   3.43	   0.37	   0.28	   3.16
  1000808101	  19890516	  19890516	  1989.373	  -999.000	    -999	    -999	  31.963	  -999.000	  64.033	  -999.000	  2	  3.0	-999.0	-999.000	-999.000	-999.00	   2.46	   4.13	   0.88	   0.47	   2.42
  1000808102	  19890516	  19890516	  1989.373	  -999.000	    -999	    -999	  31.963	  -999.000	  64.033	  -999.000	  2	 14.0	-999.0	-999.000	-999.000	   3.63	   4.54	   4.01	   2.34	   0.80	   1.72
  1000808103	  19890516	  19890516	  1989.373	  -999.000	    -999	    -999	  31.963	  -999.000	  64.033	  -999.000	  2	 25.0	-999.0	-999.000	-999.000	   1.60	   1.40	   1.73	   0.72	   0.42	   0.86
  1000808104	  19890516	  19890516	  1989.373	  -999.000	    -999	    -999	  31.963	  -999.000	  64.033	  -999.000	  2	 39.0	-999.0	-999.000	-999.000	   3.04	   4.07	   2.86	   1.15	   0.26	   2.17
  1000808105	  19890516	  19890516	  1989.373	  -999.000	    -999	    -999	  31.963	  -999.000	  64.033	  -999.000	  2	 67.0	-999.0	-999.000	-999.000	   2.68	   2.69	-999.00	   0.86	   1.17	   1.83
  1000808106	  19890516	  19890516	  1989.373	  -999.000	    -999	    -999	  31.963	  -999.000	  64.033	  -999.000	  2	 97.0	-999.0	-999.000	-999.000	   0.81	   1.32	   1.00	   0.37	   0.42	   0.67
  1000908101	  19890622	  19890622	  1989.475	  -999.000	    -999	    -999	  31.797	  -999.000	  64.084	  -999.000	  2	  3.0	-999.0	-999.000	-999.000	   3.37	   4.82	   4.48	-999.00	   0.29	-999.00
  1000908102	  19890622	  19890622	  1989.475	  -999.000	    -999	    -999	  31.797	  -999.000	  64.084	  -999.000	  2	 16.0	-999.0	-999.000	-999.000	   4.24	   5.04	   5.22	   0.45	   0.26	   4.38
  1000908103	  19890622	  19890622	  1989.475	  -999.000	    -999	    -999	  31.797	  -999.000	  64.084	  -999.000	  2	 24.0	-999.0	-999.000	-999.000	   5.18	   4.17	   4.78	   0.44	   0.25	   4.27
  1000908104	  19890622	  19890622	  1989.475	  -999.000	    -999	    -999	  31.797	  -999.000	  64.084	  -999.000	  2	 39.0	-999.0	-999.000	-999.000	   3.39	   2.21	   1.80	   0.61	   0.29	   1.86
  1000908105	  19890622	  19890622	  1989.475	  -999.000	    -999	    -999	  31.797	  -999.000	  64.084	  -999.000	  2	 53.0	-999.0	-999.000	-999.000	   5.10	   4.54	   5.27	-999.00	   0.28	-999.00
  1000908106	  19890622	  19890622	  1989.475	  -999.000	    -999	    -999	  31.797	  -999.000	  64.084	  -999.000	  2	 66.0	-999.0	-999.000	-999.000	   4.22	   4.27	   4.34	   0.36	   0.37	   3.92
  1001008101	  19890720	  19890720	  1989.551	  -999.000	    -999	    -999	  31.900	  -999.000	  64.225	  -999.000	  2	  1.0	-999.0	-999.000	-999.000	   4.32	   4.76	   4.51	   0.47	   0.30	   4.06
  1001008102	  19890720	  19890720	  1989.551	  -999.000	    -999	    -999	  31.900	  -999.000	  64.225	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	   4.97	   4.58	   4.77	   0.47	   0.30	   4.30
  1001008103	  19890720	  19890720	  1989.551	  -999.000	    -999	    -999	  31.900	  -999.000	  64.225	  -999.000	  2	 40.0	-999.0	-999.000	-999.000	   3.73	   4.60	   4.33	   0.46	   0.30	   3.76
  1001008104	  19890720	  19890720	  1989.551	  -999.000	    -999	    -999	  31.900	  -999.000	  64.225	  -999.000	  2	 60.0	-999.0	-999.000	-999.000	   4.32	   4.01	   4.07	   0.38	   0.22	   3.75
  1001008105	  19890720	  19890720	  1989.551	  -999.000	    -999	    -999	  31.900	  -999.000	  64.225	  -999.000	  2	 80.0	-999.0	-999.000	-999.000	   4.00	   4.00	-999.00	   0.39	   0.19	   3.61
  1001008106	  19890720	  19890720	  1989.551	  -999.000	    -999	    -999	  31.900	  -999.000	  64.225	  -999.000	  2	100.0	-999.0	-999.000	-999.000	-999.00	   3.68	-999.00	   0.33	-999.00	   3.35
  1001108101	  19890816	  19890816	  1989.625	  -999.000	    -999	    -999	  31.500	  -999.000	  64.100	  -999.000	  2	  1.0	-999.0	-999.000	-999.000	   2.58	   3.54	   3.18	   0.35	   0.21	   2.75
  1001108102	  19890816	  19890816	  1989.625	  -999.000	    -999	    -999	  31.500	  -999.000	  64.100	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	   6.10	   5.63	   5.10	   0.22	-999.00	   5.39
  1001108103	  19890816	  19890816	  1989.625	  -999.000	    -999	    -999	  31.500	  -999.000	  64.100	  -999.000	  2	 40.0	-999.0	-999.000	-999.000	-999.00	   3.15	-999.00	   0.32	   0.23	   2.83
  1001108104	  19890816	  19890816	  1989.625	  -999.000	    -999	    -999	  31.500	  -999.000	  64.100	  -999.000	  2	 60.0	-999.0	-999.000	-999.000	-999.00	   2.97	   2.57	   0.36	-999.00	   2.41
  1001108105	  19890816	  19890816	  1989.625	  -999.000	    -999	    -999	  31.500	  -999.000	  64.100	  -999.000	  2	 80.0	-999.0	-999.000	-999.000	   1.17	   1.12	   1.28	   0.32	   0.21	   0.87
  1001108106	  19890816	  19890816	  1989.625	  -999.000	    -999	    -999	  31.500	  -999.000	  64.100	  -999.000	  2	100.0	-999.0	-999.000	-999.000	-999.00	   0.63	   0.73	   0.30	-999.00	   0.38
  1001108107	  19890816	  19890816	  1989.625	  -999.000	    -999	    -999	  31.500	  -999.000	  64.100	  -999.000	  2	120.0	-999.0	-999.000	-999.000	   1.43	   1.15	   1.02	   0.31	   0.17	   0.89
  1001108108	  19890816	  19890816	  1989.625	  -999.000	    -999	    -999	  31.500	  -999.000	  64.100	  -999.000	  2	140.0	-999.0	-999.000	-999.000	   0.42	   0.43	   0.38	   0.20	-999.00	   0.21
  1001308101	  19891020	  19891020	  1989.803	  -999.000	    -999	    -999	  31.883	  -999.000	  64.180	  -999.000	  2	  1.0	-999.0	-999.000	-999.000	   5.47	   4.97	   5.06	   0.71	   0.40	   4.46
  1001308102	  19891020	  19891020	  1989.803	  -999.000	    -999	    -999	  31.883	  -999.000	  64.180	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	   4.88	   4.79	   4.51	   0.64	   0.29	   4.09
  1001308103	  19891020	  19891020	  1989.803	  -999.000	    -999	    -999	  31.883	  -999.000	  64.180	  -999.000	  2	 40.0	-999.0	-999.000	-999.000	   2.55	   2.57	   3.10	   1.62	   0.33	   1.12
  1001308104	  19891020	  19891020	  1989.803	  -999.000	    -999	    -999	  31.883	  -999.000	  64.180	  -999.000	  2	 60.0	-999.0	-999.000	-999.000	   2.11	   2.93	   2.60	   0.71	   0.45	   1.84
  1001308105	  19891020	  19891020	  1989.803	  -999.000	    -999	    -999	  31.883	  -999.000	  64.180	  -999.000	  2	 80.0	-999.0	-999.000	-999.000	   2.06	   1.39	   1.76	   0.77	   0.38	   0.97
  1001308106	  19891020	  19891020	  1989.803	  -999.000	    -999	    -999	  31.883	  -999.000	  64.180	  -999.000	  2	100.0	-999.0	-999.000	-999.000	   0.97	   0.99	   1.04	   0.60	   0.39	   0.40
  1001308107	  19891020	  19891020	  1989.803	  -999.000	    -999	    -999	  31.883	  -999.000	  64.180	  -999.000	  2	120.0	-999.0	-999.000	-999.000	   0.72	   0.72	   0.68	   0.58	   0.25	   0.13
  1001308108	  19891020	  19891020	  1989.803	  -999.000	    -999	    -999	  31.883	  -999.000	  64.180	  -999.000	  2	140.0	-999.0	-999.000	-999.000	   0.60	   0.46	   0.43	   0.42	   0.41	   0.08
  1001408101	  19891120	  19891120	  1989.888	  -999.000	    -999	    -999	  31.833	  -999.000	  64.167	  -999.000	  2	  1.0	-999.0	-999.000	-999.000	-999.00	   4.80	-999.00	   0.52	   0.23	   4.28
  1001408102	  19891120	  19891120	  1989.888	  -999.000	    -999	    -999	  31.833	  -999.000	  64.167	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	   4.49	   4.82	   4.61	   0.59	   0.30	   4.05
  1001408103	  19891120	  19891120	  1989.888	  -999.000	    -999	    -999	  31.833	  -999.000	  64.167	  -999.000	  2	 40.0	-999.0	-999.000	-999.000	-999.00	   3.67	   3.93	   0.61	   0.36	   3.19
  1001408104	  19891120	  19891120	  1989.888	  -999.000	    -999	    -999	  31.833	  -999.000	  64.167	  -999.000	  2	 60.0	-999.0	-999.000	-999.000	-999.00	   2.45	-999.00	   0.65	   0.47	   1.80
  1001408105	  19891120	  19891120	  1989.888	  -999.000	    -999	    -999	  31.833	  -999.000	  64.167	  -999.000	  2	 80.0	-999.0	-999.000	-999.000	   0.87	   0.94	   1.05	   0.55	   0.47	   0.40
  1001408106	  19891120	  19891120	  1989.888	  -999.000	    -999	    -999	  31.833	  -999.000	  64.167	  -999.000	  2	100.0	-999.0	-999.000	-999.000	   0.84	   0.68	   0.76	   0.51	   0.38	   0.25
  1001408107	  19891120	  19891120	  1989.888	  -999.000	    -999	    -999	  31.833	  -999.000	  64.167	  -999.000	  2	120.0	-999.0	-999.000	-999.000	   0.56	   0.61	   0.64	   0.59	   0.49	   0.01
  1001408108	  19891120	  19891120	  1989.888	  -999.000	    -999	    -999	  31.833	  -999.000	  64.167	  -999.000	  2	140.0	-999.0	-999.000	-999.000	   0.43	   0.43	   0.44	   0.36	   0.47	   0.07
  1001608101	  19900116	  19900116	  1990.044	  -999.000	    -999	    -999	  31.862	  -999.000	  64.301	  -999.000	  2	  1.0	-999.0	-999.000	-999.000	   4.29	   4.65	   4.30	   0.53	   0.39	   3.88
  1001608102	  19900116	  19900116	  1990.044	  -999.000	    -999	    -999	  31.862	  -999.000	  64.301	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	   4.39	   4.71	   4.91	   0.40	   0.43	   4.27
  1001608103	  19900116	  19900116	  1990.044	  -999.000	    -999	    -999	  31.862	  -999.000	  64.301	  -999.000	  2	 40.0	-999.0	-999.000	-999.000	   4.15	   4.14	   4.26	   0.62	   0.26	   3.56
  1001608104	  19900116	  19900116	  1990.044	  -999.000	    -999	    -999	  31.862	  -999.000	  64.301	  -999.000	  2	 60.0	-999.0	-999.000	-999.000	   2.22	   2.60	   2.42	   0.50	   0.32	   1.91
  1001608105	  19900116	  19900116	  1990.044	  -999.000	    -999	    -999	  31.862	  -999.000	  64.301	  -999.000	  2	 80.0	-999.0	-999.000	-999.000	   1.21	   1.00	   1.49	   0.50	   0.40	   0.73
  1001608106	  19900116	  19900116	  1990.044	  -999.000	    -999	    -999	  31.862	  -999.000	  64.301	  -999.000	  2	100.0	-999.0	-999.000	-999.000	   0.95	   0.84	   0.85	   0.83	   0.34	   0.05
  1001608107	  19900116	  19900116	  1990.044	  -999.000	    -999	    -999	  31.862	  -999.000	  64.301	  -999.000	  2	120.0	-999.0	-999.000	-999.000	   0.67	   0.76	   0.76	   0.46	   0.23	   0.27
  1001608108	  19900116	  19900116	  1990.044	  -999.000	    -999	    -999	  31.862	  -999.000	  64.301	  -999.000	  2	140.0	-999.0	-999.000	-999.000	   0.46	   0.55	   0.53	   0.40	   0.30	   0.11
  1001708201	  19900216	  19900216	  1990.129	  -999.000	    -999	    -999	  31.750	  -999.000	  64.167	  -999.000	  2	  1.0	-999.0	-999.000	-999.000	   6.25	   5.11	   5.22	   0.64	   0.27	   4.89
  1001708202	  19900216	  19900216	  1990.129	  -999.000	    -999	    -999	  31.750	  -999.000	  64.167	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	   7.94	   8.14	   7.73	   0.62	   0.29	   7.32
  1001708203	  19900216	  19900216	  1990.129	  -999.000	    -999	    -999	  31.750	  -999.000	  64.167	  -999.000	  2	 40.0	-999.0	-999.000	-999.000	   7.05	   7.26	   7.33	   0.61	   0.30	   6.60
  1001708204	  19900216	  19900216	  1990.129	  -999.000	    -999	    -999	  31.750	  -999.000	  64.167	  -999.000	  2	 60.0	-999.0	-999.000	-999.000	   5.15	   5.32	   4.99	   0.56	   0.34	   4.59
  1001708205	  19900216	  19900216	  1990.129	  -999.000	    -999	    -999	  31.750	  -999.000	  64.167	  -999.000	  2	 80.0	-999.0	-999.000	-999.000	   2.82	   2.85	   3.04	   0.46	   0.34	   2.44
  1001708206	  19900216	  19900216	  1990.129	  -999.000	    -999	    -999	  31.750	  -999.000	  64.167	  -999.000	  2	100.0	-999.0	-999.000	-999.000	   1.70	   1.47	   1.37	   0.40	   0.28	   1.11
  1001708207	  19900216	  19900216	  1990.129	  -999.000	    -999	    -999	  31.750	  -999.000	  64.167	  -999.000	  2	120.0	-999.0	-999.000	-999.000	   0.76	   0.92	   0.93	   0.42	   0.30	   0.45
  1001708208	  19900216	  19900216	  1990.129	  -999.000	    -999	    -999	  31.750	  -999.000	  64.167	  -999.000	  2	140.0	-999.0	-999.000	-999.000	   0.53	   0.57	   0.52	   0.58	   0.25	  -0.04
  2001708101	  19900222	  19900222	  1990.146	  -999.000	    -999	    -999	  31.833	  -999.000	  64.250	  -999.000	  2	  1.0	-999.0	-999.000	-999.000	   2.50	   2.43	-999.00	-999.00	-999.00	-999.00
  2001708102	  19900222	  19900222	  1990.146	  -999.000	    -999	    -999	  31.833	  -999.000	  64.250	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	   3.10	   3.33	-999.00	-999.00	-999.00	-999.00
  2001708103	  19900222	  19900222	  1990.146	  -999.000	    -999	    -999	  31.833	  -999.000	  64.250	  -999.000	  2	 40.0	-999.0	-999.000	-999.000	   2.83	   2.79	-999.00	-999.00	-999.00	-999.00
  2001708104	  19900222	  19900222	  1990.146	  -999.000	    -999	    -999	  31.833	  -999.000	  64.250	  -999.000	  2	 60.0	-999.0	-999.000	-999.000	   2.12	   2.07	-999.00	-999.00	-999.00	-999.00
  2001708105	  19900222	  19900222	  1990.146	  -999.000	    -999	    -999	  31.833	  -999.000	  64.250	  -999.000	  2	 80.0	-999.0	-999.000	-999.000	   1.16	   1.36	-999.00	-999.00	-999.00	-999.00
  2001708106	  19900222	  19900222	  1990.146	  -999.000	    -999	    -999	  31.833	  -999.000	  64.250	  -999.000	  2	100.0	-999.0	-999.000	-999.000	   0.64	   0.75	-999.00	-999.00	-999.00	-999.00
  2001708107	  19900222	  19900222	  1990.146	  -999.000	    -999	    -999	  31.833	  -999.000	  64.250	  -999.000	  2	120.0	-999.0	-999.000	-999.000	   0.61	   0.58	-999.00	-999.00	-999.00	-999.00
  2001708108	  19900222	  19900222	  1990.146	  -999.000	    -999	    -999	  31.833	  -999.000	  64.250	  -999.000	  2	140.0	-999.0	-999.000	-999.000	   0.70	   0.60	-999.00	-999.00	-999.00	-999.00
  1001808101	  19900313	  19900313	  1990.198	  -999.000	    -999	    -999	  31.849	  -999.000	  64.102	  -999.000	  2	  1.0	-999.0	-999.000	-999.000	   8.85	   8.01	   7.31	   0.68	   0.33	   7.38
  1001808102	  19900313	  19900313	  1990.198	  -999.000	    -999	    -999	  31.849	  -999.000	  64.102	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	   8.57	   8.96	   9.36	   0.36	   0.48	   8.60
  1001808103	  19900313	  19900313	  1990.198	  -999.000	    -999	    -999	  31.849	  -999.000	  64.102	  -999.000	  2	 40.0	-999.0	-999.000	-999.000	   7.48	   8.67	   8.10	   0.63	   0.32	   7.45
  1001808104	  19900313	  19900313	  1990.198	  -999.000	    -999	    -999	  31.849	  -999.000	  64.102	  -999.000	  2	 60.0	-999.0	-999.000	-999.000	   4.43	   4.84	   4.17	   0.53	   0.40	   3.95
  1001808105	  19900313	  19900313	  1990.198	  -999.000	    -999	    -999	  31.849	  -999.000	  64.102	  -999.000	  2	 80.0	-999.0	-999.000	-999.000	   1.53	   1.63	   1.74	   0.68	   0.40	   0.95
  1001808106	  19900313	  19900313	  1990.198	  -999.000	    -999	    -999	  31.849	  -999.000	  64.102	  -999.000	  2	100.0	-999.0	-999.000	-999.000	   0.88	   0.90	   1.06	   0.61	   0.37	   0.34
  1001808107	  19900313	  19900313	  1990.198	  -999.000	    -999	    -999	  31.849	  -999.000	  64.102	  -999.000	  2	120.0	-999.0	-999.000	-999.000	   0.56	   0.79	   0.64	   0.50	   0.51	   0.16
  1001808108	  19900313	  19900313	  1990.198	  -999.000	    -999	    -999	  31.849	  -999.000	  64.102	  -999.000	  2	140.0	-999.0	-999.000	-999.000	   0.44	   0.74	   0.57	   0.39	   0.35	   0.19
  1001908101	  19900417	  19900417	  1990.294	  -999.000	    -999	    -999	  31.828	  -999.000	  64.291	  -999.000	  2	  1.0	-999.0	-999.000	-999.000	  14.06	  14.09	-999.00	   0.89	   0.34	  13.18
  1001908102	  19900417	  19900417	  1990.294	  -999.000	    -999	    -999	  31.828	  -999.000	  64.291	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	  12.50	  15.52	  17.00	   0.98	   0.24	  14.03
  1001908103	  19900417	  19900417	  1990.294	  -999.000	    -999	    -999	  31.828	  -999.000	  64.291	  -999.000	  2	 40.0	-999.0	-999.000	-999.000	  11.07	  10.70	   9.22	   0.64	   0.41	   9.69
  1001908104	  19900417	  19900417	  1990.294	  -999.000	    -999	    -999	  31.828	  -999.000	  64.291	  -999.000	  2	 60.0	-999.0	-999.000	-999.000	   4.74	   3.98	   4.60	   0.97	   0.34	   3.47
  1001908105	  19900417	  19900417	  1990.294	  -999.000	    -999	    -999	  31.828	  -999.000	  64.291	  -999.000	  2	 80.0	-999.0	-999.000	-999.000	   1.31	   1.36	   1.49	   1.09	   0.41	   0.30
  1001908106	  19900417	  19900417	  1990.294	  -999.000	    -999	    -999	  31.828	  -999.000	  64.291	  -999.000	  2	100.0	-999.0	-999.000	-999.000	   0.75	   0.80	   0.85	   0.46	   0.27	   0.34
  1001908107	  19900417	  19900417	  1990.294	  -999.000	    -999	    -999	  31.828	  -999.000	  64.291	  -999.000	  2	120.0	-999.0	-999.000	-999.000	   0.52	   0.67	   0.49	   0.48	   0.24	   0.08
  1001908108	  19900417	  19900417	  1990.294	  -999.000	    -999	    -999	  31.828	  -999.000	  64.291	  -999.000	  2	140.0	-999.0	-999.000	-999.000	   0.42	   0.46	   0.42	   0.36	   0.29	   0.07
  1002008101	  19900509	  19900509	  1990.354	  -999.000	    -999	    -999	  31.848	  -999.000	  64.297	  -999.000	  2	  1.0	-999.0	-999.000	-999.000	   4.94	   6.14	   5.12	   0.77	   0.25	   4.63
  1002008102	  19900509	  19900509	  1990.354	  -999.000	    -999	    -999	  31.848	  -999.000	  64.297	  -999.000	  2	 20.0	-999.0	-999.000	-999.000	   5.50	   5.67	   5.47	   0.81	   0.28	   4.74
  1002008103	  19900509	  19900509	  1990.354	  -999.000	    -999	    -999	  31.848	  -999.000	  64.297	  -999.000	  2	 40.0	-999.0	-999.000	-999.000	   5.25	   4.61	   4.99	   0.77	   0.28	   4.18
  1002008104	  19900509	  19900509	  1990.354	  -999.000	    -999	    -999	  31.848	  -999.000	  64.297	  -999.000	  2	 60.0	-999.0	-999.000	-999.000	   4.11	   3.79	   4.17	   0.72	   0.23	   3.30
