time,latitude,longitude,depth,zooplankton_dry_weight
1994-08-31 00:50:00,22.5,-158.0,150.0,0.2161
1994-08-31 00:50:00,22.5,-158.0,150.0,1.1854
1994-08-31 10:25:00,22.5,-158.0,150.0,0.0239
1994-08-31 10:25:00,22.5,-158.0,150.0,0.0867
1994-08-31 10:25:00,22.5,-158.0,150.0,0.1854
1994-08-31 10:25:00,22.5,-158.0,150.0,0.3167
1994-08-31 10:25:00,22.5,-158.0,150.0,0.1422
1994-08-31 10:25:00,22.5,-158.0,150.0,0.755
1994-08-31 22:40:00,22.5,-158.0,200.0,0.1077
1994-08-31 22:40:00,22.5,-158.0,200.0,0.1844
1994-08-31 22:40:00,22.5,-158.0,200.0,0.2387
1994-08-31 22:40:00,22.5,-158.0,200.0,0.2633
1994-08-31 22:40:00,22.5,-158.0,200.0,0.1934
1994-08-31 22:40:00,22.5,-158.0,200.0,0.9875
1994-08-31 12:20:00,22.5,-158.0,250.0,0.0
1994-08-31 12:20:00,22.5,-158.0,250.0,0.0973
1994-08-31 12:20:00,22.5,-158.0,250.0,0.2195
1994-08-31 12:20:00,22.5,-158.0,250.0,0.2216
1994-08-31 12:20:00,22.5,-158.0,250.0,0.1922
1994-08-31 12:20:00,22.5,-158.0,250.0,0.7306
1994-09-22 11:45:00,22.5,-158.0,250.0,0.083
1994-09-22 11:45:00,22.5,-158.0,250.0,0.1462
1994-09-22 11:45:00,22.5,-158.0,250.0,0.1819
1994-09-22 11:45:00,22.5,-158.0,250.0,0.2078
1994-09-22 11:45:00,22.5,-158.0,250.0,0.1283
1994-09-22 11:45:00,22.5,-158.0,250.0,0.7472
1994-09-23 13:37:00,22.5,-158.0,200.0,0.0127
1994-09-23 13:37:00,22.5,-158.0,200.0,0.127
1994-09-23 13:37:00,22.5,-158.0,200.0,0.2403
1994-09-23 13:37:00,22.5,-158.0,200.0,0.2073
1994-09-23 13:37:00,22.5,-158.0,200.0,0.1398
1994-09-23 13:37:00,22.5,-158.0,200.0,0.7271
1994-09-23 22:55:00,22.5,-158.0,200.0,0.045
1994-09-23 22:55:00,22.5,-158.0,200.0,0.2608
1994-09-23 22:55:00,22.5,-158.0,200.0,0.2018
1994-09-23 22:55:00,22.5,-158.0,200.0,0.1223
1994-09-23 22:55:00,22.5,-158.0,200.0,0.058
1994-09-23 22:55:00,22.5,-158.0,200.0,0.688
1994-09-24 01:17:00,22.5,-158.0,200.0,0.0389
1994-09-24 01:17:00,22.5,-158.0,200.0,0.216
1994-09-24 01:17:00,22.5,-158.0,200.0,0.3256
1994-09-24 01:17:00,22.5,-158.0,200.0,0.166
1994-09-24 01:17:00,22.5,-158.0,200.0,0.1797
1994-09-24 01:17:00,22.5,-158.0,200.0,0.9261
1994-09-24 10:43:00,22.5,-158.0,200.0,0.0016
1994-09-24 10:43:00,22.5,-158.0,200.0,0.1034
1994-09-24 10:43:00,22.5,-158.0,200.0,0.1352
1994-09-24 10:43:00,22.5,-158.0,200.0,0.1095
1994-09-24 10:43:00,22.5,-158.0,200.0,0.1358
1994-09-24 10:43:00,22.5,-158.0,200.0,0.4855
1994-09-22 15:05:00,22.5,-158.0,200.0,0.0242
1994-09-22 15:05:00,22.5,-158.0,200.0,0.2066
1994-09-22 15:05:00,22.5,-158.0,200.0,0.1722
1994-09-22 15:05:00,22.5,-158.0,200.0,0.1538
1994-09-22 15:05:00,22.5,-158.0,200.0,0.1138
1994-09-22 15:05:00,22.5,-158.0,200.0,0.6706
1994-10-15 00:15:00,22.5,-158.0,250.0,0.0679
1994-10-15 00:15:00,22.5,-158.0,250.0,0.2112
1994-10-15 00:15:00,22.5,-158.0,250.0,0.216
1994-10-15 00:15:00,22.5,-158.0,250.0,0.1671
1994-10-15 00:15:00,22.5,-158.0,250.0,0.1832
1994-10-15 00:15:00,22.5,-158.0,250.0,0.8454
1994-10-16 12:00:00,22.5,-158.0,200.0,0.0505
1994-10-16 12:00:00,22.5,-158.0,200.0,0.1543
1994-10-16 12:00:00,22.5,-158.0,200.0,0.1333
1994-10-16 12:00:00,22.5,-158.0,200.0,0.1705
1994-10-16 12:00:00,22.5,-158.0,200.0,0.1416
1994-10-16 12:00:00,22.5,-158.0,200.0,0.6503
1994-10-16 23:30:00,22.5,-158.0,250.0,0.0538
1994-10-16 23:30:00,22.5,-158.0,250.0,0.2243
1994-10-16 23:30:00,22.5,-158.0,250.0,0.2426
1994-10-16 23:30:00,22.5,-158.0,250.0,0.2053
1994-10-16 23:30:00,22.5,-158.0,250.0,0.1861
1994-10-16 23:30:00,22.5,-158.0,250.0,0.9121
1994-10-17 11:40:00,22.5,-158.0,250.0,0.0406
1994-10-17 11:40:00,22.5,-158.0,250.0,0.0854
1994-10-17 11:40:00,22.5,-158.0,250.0,0.1969
1994-10-17 11:40:00,22.5,-158.0,250.0,0.1554
1994-10-17 11:40:00,22.5,-158.0,250.0,0.1332
1994-10-17 11:40:00,22.5,-158.0,250.0,0.6115
1994-10-17 00:35:00,22.5,-158.0,150.0,0.1366
1994-10-17 00:35:00,22.5,-158.0,150.0,0.2165
1994-10-17 00:35:00,22.5,-158.0,150.0,0.1737
1994-10-17 00:35:00,22.5,-158.0,150.0,0.18
1994-10-17 00:35:00,22.5,-158.0,150.0,0.1423
1994-10-17 00:35:00,22.5,-158.0,150.0,0.8491
1995-02-05 11:20:00,22.5,-158.0,50.0,-9.0
1995-02-05 11:20:00,22.5,-158.0,50.0,-9.0
1995-02-05 11:20:00,22.5,-158.0,50.0,-9.0
1995-02-05 11:20:00,22.5,-158.0,50.0,-9.0
1995-02-05 11:20:00,22.5,-158.0,50.0,-9.0
1995-02-05 11:20:00,22.5,-158.0,50.0,-9.0
1995-02-07 11:25:00,22.5,-158.0,250.0,0.0
1995-02-07 11:25:00,22.5,-158.0,250.0,0.0366
1995-02-07 11:25:00,22.5,-158.0,250.0,0.0766
1995-02-07 11:25:00,22.5,-158.0,250.0,0.0701
1995-02-07 11:25:00,22.5,-158.0,250.0,0.0595
1995-02-07 11:25:00,22.5,-158.0,250.0,0.2427
1995-02-05 22:45:00,22.5,-158.0,200.0,0.0057
1995-02-05 22:45:00,22.5,-158.0,200.0,0.1044
1995-02-05 22:45:00,22.5,-158.0,200.0,0.178
1995-02-05 22:45:00,22.5,-158.0,200.0,0.1999
1995-02-05 22:45:00,22.5,-158.0,200.0,0.1094
1995-02-05 22:45:00,22.5,-158.0,200.0,0.5975
1995-03-04 01:10:00,22.5,-158.0,150.0,0.137
1995-03-04 01:10:00,22.5,-158.0,150.0,0.2547
1995-03-04 01:10:00,22.5,-158.0,150.0,0.1912
1995-03-04 01:10:00,22.5,-158.0,150.0,0.2
1995-03-04 01:10:00,22.5,-158.0,150.0,0.0994
1995-03-04 01:10:00,22.5,-158.0,150.0,0.8822
1995-03-04 10:35:00,22.5,-158.0,150.0,0.0224
1995-03-04 10:35:00,22.5,-158.0,150.0,0.088
1995-03-04 10:35:00,22.5,-158.0,150.0,0.0864
1995-03-04 10:35:00,22.5,-158.0,150.0,0.0843
1995-03-04 10:35:00,22.5,-158.0,150.0,0.0833
1995-03-04 10:35:00,22.5,-158.0,150.0,0.3644
1995-03-04 22:45:00,22.5,-158.0,150.0,0.0995
1995-03-04 22:45:00,22.5,-158.0,150.0,0.2559
1995-03-04 22:45:00,22.5,-158.0,150.0,0.2056
1995-03-04 22:45:00,22.5,-158.0,150.0,0.1584
1995-03-04 22:45:00,22.5,-158.0,150.0,0.0683
1995-03-04 22:45:00,22.5,-158.0,150.0,0.7876
1995-03-05 11:15:00,22.5,-158.0,250.0,0.0263
1995-03-05 11:15:00,22.5,-158.0,250.0,0.0703
1995-03-05 11:15:00,22.5,-158.0,250.0,0.0907
1995-03-05 11:15:00,22.5,-158.0,250.0,0.097
1995-03-05 11:15:00,22.5,-158.0,250.0,0.0668
1995-03-05 11:15:00,22.5,-158.0,250.0,0.3511
1995-04-05 12:40:00,22.5,-158.0,250.0,0.0093
1995-04-05 12:40:00,22.5,-158.0,250.0,0.0304
1995-04-05 12:40:00,22.5,-158.0,250.0,0.0614
1995-04-05 12:40:00,22.5,-158.0,250.0,0.1048
1995-04-05 12:40:00,22.5,-158.0,250.0,0.1088
1995-04-05 12:40:00,22.5,-158.0,250.0,0.3146
1995-04-06 01:05:00,22.5,-158.0,250.0,0.0438
1995-04-06 01:05:00,22.5,-158.0,250.0,0.2098
1995-04-06 01:05:00,22.5,-158.0,250.0,0.328
1995-04-06 01:05:00,22.5,-158.0,250.0,0.2498
1995-04-06 01:05:00,22.5,-158.0,250.0,0.1734
1995-04-06 01:05:00,22.5,-158.0,250.0,1.0048
1995-04-06 10:05:00,22.5,-158.0,250.0,0.0121
1995-04-06 10:05:00,22.5,-158.0,250.0,0.0121
1995-04-06 10:05:00,22.5,-158.0,250.0,0.0781
1995-04-06 10:05:00,22.5,-158.0,250.0,0.1189
1995-04-06 10:05:00,22.5,-158.0,250.0,0.1169
1995-04-06 10:05:00,22.5,-158.0,250.0,0.3381
1995-04-06 12:45:00,22.5,-158.0,250.0,0.0
1995-04-06 12:45:00,22.5,-158.0,250.0,0.0578
1995-04-06 12:45:00,22.5,-158.0,250.0,0.1723
1995-04-06 12:45:00,22.5,-158.0,250.0,0.167
1995-04-06 12:45:00,22.5,-158.0,250.0,0.1573
1995-04-06 12:45:00,22.5,-158.0,250.0,0.5544
1995-04-06 22:05:00,22.5,-158.0,200.0,0.0083
1995-04-06 22:05:00,22.5,-158.0,200.0,0.2722
1995-04-06 22:05:00,22.5,-158.0,200.0,0.2485
1995-04-06 22:05:00,22.5,-158.0,200.0,0.1921
1995-04-06 22:05:00,22.5,-158.0,200.0,0.1543
1995-04-06 22:05:00,22.5,-158.0,200.0,0.8754
1995-04-07 01:00:00,22.5,-158.0,150.0,0.2355
1995-04-07 01:00:00,22.5,-158.0,150.0,0.1402
1995-04-07 01:00:00,22.5,-158.0,150.0,0.204
1995-04-07 01:00:00,22.5,-158.0,150.0,0.2312
1995-04-07 01:00:00,22.5,-158.0,150.0,0.1321
1995-04-07 01:00:00,22.5,-158.0,150.0,0.9431
1995-05-06 11:40:00,22.5,-158.0,150.0,0.0077
1995-05-06 11:40:00,22.5,-158.0,150.0,0.0366
1995-05-06 11:40:00,22.5,-158.0,150.0,0.1157
1995-05-06 11:40:00,22.5,-158.0,150.0,0.0429
1995-05-06 11:40:00,22.5,-158.0,150.0,0.163
1995-05-06 11:40:00,22.5,-158.0,150.0,0.3658
1995-05-06 23:20:00,22.5,-158.0,150.0,0.1884
1995-05-06 23:20:00,22.5,-158.0,150.0,0.2651
1995-05-06 23:20:00,22.5,-158.0,150.0,0.2754
1995-05-06 23:20:00,22.5,-158.0,150.0,0.1053
1995-05-06 23:20:00,22.5,-158.0,150.0,0.1722
1995-05-06 23:20:00,22.5,-158.0,150.0,1.0063
1995-05-06 11:10:00,22.5,-158.0,200.0,0.0587
1995-05-06 11:10:00,22.5,-158.0,200.0,0.2509
1995-05-06 11:10:00,22.5,-158.0,200.0,0.273
1995-05-06 11:10:00,22.5,-158.0,200.0,0.2562
1995-05-06 11:10:00,22.5,-158.0,200.0,0.1728
1995-05-06 11:10:00,22.5,-158.0,200.0,1.0116
1995-05-06 23:34:00,22.5,-158.0,200.0,0.0788
1995-05-06 23:34:00,22.5,-158.0,200.0,0.2489
1995-05-06 23:34:00,22.5,-158.0,200.0,0.2598
1995-05-06 23:34:00,22.5,-158.0,200.0,0.172
1995-05-06 23:34:00,22.5,-158.0,200.0,0.1571
1995-05-06 23:34:00,22.5,-158.0,200.0,0.9165
1995-05-07 02:05:00,22.5,-158.0,200.0,0.0664
1995-05-07 02:05:00,22.5,-158.0,200.0,0.2531
1995-05-07 02:05:00,22.5,-158.0,200.0,0.279
1995-05-07 02:05:00,22.5,-158.0,200.0,0.1939
1995-05-07 02:05:00,22.5,-158.0,200.0,0.1397
1995-05-07 02:05:00,22.5,-158.0,200.0,0.9321
1995-05-07 11:04:00,22.5,-158.0,200.0,0.0159
1995-05-07 11:04:00,22.5,-158.0,200.0,0.1024
1995-05-07 11:04:00,22.5,-158.0,200.0,0.1523
1995-05-07 11:04:00,22.5,-158.0,200.0,0.1204
1995-05-07 11:04:00,22.5,-158.0,200.0,0.0956
1995-05-07 11:04:00,22.5,-158.0,200.0,0.4866
1995-07-30 11:50:00,22.5,-158.0,250.0,0.0228
1995-07-30 11:50:00,22.5,-158.0,250.0,0.0714
1995-07-30 11:50:00,22.5,-158.0,250.0,0.4038
1995-07-30 11:50:00,22.5,-158.0,250.0,0.3558
1995-07-30 11:50:00,22.5,-158.0,250.0,0.3741
1995-07-30 11:50:00,22.5,-158.0,250.0,1.2279
1995-07-30 23:30:00,22.5,-158.0,250.0,0.3481
1995-07-30 23:30:00,22.5,-158.0,250.0,0.3704
1995-07-30 23:30:00,22.5,-158.0,250.0,0.3956
1995-07-30 23:30:00,22.5,-158.0,250.0,0.2944
1995-07-30 23:30:00,22.5,-158.0,250.0,0.3613
1995-07-30 23:30:00,22.5,-158.0,250.0,1.7699
1995-07-30 02:50:00,22.5,-158.0,250.0,0.0868
1995-07-30 02:50:00,22.5,-158.0,250.0,0.0685
1995-07-30 02:50:00,22.5,-158.0,250.0,0.0841
1995-07-30 02:50:00,22.5,-158.0,250.0,0.0881
1995-07-30 02:50:00,22.5,-158.0,250.0,0.1598
1995-07-30 02:50:00,22.5,-158.0,250.0,0.4873
1995-07-30 11:35:00,22.5,-158.0,150.0,0.0139
1995-07-30 11:35:00,22.5,-158.0,150.0,0.0197
1995-07-30 11:35:00,22.5,-158.0,150.0,0.1239
1995-07-30 11:35:00,22.5,-158.0,150.0,0.1497
1995-07-30 11:35:00,22.5,-158.0,150.0,0.195
1995-07-30 11:35:00,22.5,-158.0,150.0,0.5022
1995-07-30 23:30:00,22.5,-158.0,200.0,0.0989
1995-07-30 23:30:00,22.5,-158.0,200.0,0.4903
1995-07-30 23:30:00,22.5,-158.0,200.0,0.1282
1995-07-30 23:30:00,22.5,-158.0,200.0,0.1859
1995-07-30 23:30:00,22.5,-158.0,200.0,0.2101
1995-07-30 23:30:00,22.5,-158.0,200.0,1.1133
1995-07-30 10:15:00,22.5,-158.0,200.0,0.0231
1995-07-30 10:15:00,22.5,-158.0,200.0,0.0699
1995-07-30 10:15:00,22.5,-158.0,200.0,0.0789
1995-07-30 10:15:00,22.5,-158.0,200.0,0.0722
1995-07-30 10:15:00,22.5,-158.0,200.0,0.1277
1995-07-30 10:15:00,22.5,-158.0,200.0,0.3718
1995-08-28 10:45:00,22.5,-158.0,250.0,0.0076
1995-08-28 10:45:00,22.5,-158.0,250.0,0.3748
1995-08-28 10:45:00,22.5,-158.0,250.0,0.203
1995-08-28 10:45:00,22.5,-158.0,250.0,0.2671
